index,home_team,away_team,home_coeff,away_coeff,mean_coeff,tvalue_home,tvalue_away,home_team_score,away_team_score,importance,home_team_result
31,Estonia,Portugal,0.99,0.99,0.99,82,177,0,2,2.5,Lose
32,Peru,Paraguay,1,1,1,130,133,2,2,2.5,Draw
33,Eswatini,Zimbabwe,0.85,0.85,0.85,98,150,0,1,1,Lose
34,Albania,Denmark,0.99,0.99,0.99,108,190,0,1,2.5,Lose
35,Bulgaria,Sweden,0.99,0.99,0.99,163,196,1,1,2.5,Draw
36,England,Poland,0.99,0.99,0.99,189,180,3,0,2.5,Win
37,Faroe Islands,Romania,0.99,0.99,0.99,89,179,0,4,2.5,Lose
38,Finland,France,0.99,0.99,0.99,153,188,0,2,2.5,Lose
39,Hungary,Russia,0.99,0.99,0.99,158,193,1,3,2.5,Lose
40,Iceland,Luxembourg,0.99,0.99,0.99,147,90,1,0,2.5,Win
41,Republic of Ireland,Lithuania,0.99,0.99,0.99,194,116,2,0,2.5,Win
42,Northern Ireland,Latvia,0.99,0.99,0.99,160,111,2,0,2.5,Win
